Time,Tree,Shoot,Length,Width,Area,
EARLY,11,SC,125,32,28.8,
EARLY,11,SC,300,50,106.7,
EARLY,11,SC,300,43,86.5,
EARLY,11,SC,225,35,61.4,
EARLY,11,SC,228,37,68.2,
EARLY,11,SC,120,24,22.2,
EARLY,11,SC,340,46,113.5,
EARLY,11,SC,138,38,37.6,
EARLY,11,SC,270,44,80.5,
EARLY,11,SC,261,43,76.3,
EARLY,11,SC,239,44,75.6,
EARLY,11,SC,100,19,13.6,
EARLY,11,SC,221,35,52.2,
EARLY,11,SC,187,30,41.3,
EARLY,11,SC,120,25,24.6,
EARLY,11,SC,267,46,89,
EARLY,11,SC,210,44,71.4,
EARLY,11,SC,270,48,93.2,
EARLY,11,SC,214,45,75.4,
EARLY,11,SC,120,25,23.4,
EARLY,11,SC,271,40,76.6,
EARLY,11,SC,225,55,97.3,
EARLY,11,SC,330,49,112.5,
EARLY,11,SC,215,57,70.8,
EARLY,11,SC,240,39,66.5,
EARLY,11,SC,235,38,67.1,
EARLY,11,SC,268,46,79.6,
EARLY,11,SC,210,31,50.8,
EARLY,11,SC,117,19,17.8,
EARLY,11,SC,81,28,13.2,
EARLY,13,SC,257,44,80.7,
EARLY,13,SC,240,41,69.7,
EARLY,13,SC,260,38,66,
EARLY,13,SC,160,32,36.2,
EARLY,13,SC,183,33,45.5,
EARLY,13,SC,194,40,64,
EARLY,13,SC,90,18,12.1,
EARLY,13,SC,110,25,21.8,
EARLY,13,SC,251,47,92.2,
EARLY,13,SC,240,51,81.8,
EARLY,13,SC,263,46,75.9,
EARLY,13,SC,251,41,71.9,
EARLY,13,SC,174,30,37.7,
EARLY,13,SC,166,30,38.3,
EARLY,13,SC,253,44,80.5,
EARLY,13,SC,272,43,78.6,
EARLY,13,SC,213,44,76.6,
EARLY,13,SC,220,46,71,
EARLY,13,SC,219,42,65.5,
EARLY,13,SC,150,25,27.9,
EARLY,13,SC,263,44,79,
EARLY,13,SC,272,43,78.6,
EARLY,13,SC,164,31,38.4,
EARLY,13,SC,243,37,59,
EARLY,13,SC,257,48,85.1,
EARLY,13,SC,120,25,21.3,
EARLY,13,SC,265,46,84,
EARLY,12,BC,165,33,42.5,
EARLY,12,BC,195,40,53.9,
EARLY,12,BC,70,7,6.8,
EARLY,12,BC,150,31,37.4,
EARLY,12,BC,238,37,71.9,
EARLY,12,BC,233,42,68.3,
