stratum,adm_state,state,trucktype,tabtrucks,bodytype,adm_modelyear,vius_gvw,miles_annl,miles_life,mpg,opclass,opclass_mtr,opclass_own,opclass_psl,opclass_pvt,opclass_rnt,transmssn,trip_primary,trip0_50,trip051_100,trip101_200,trip201_500,trip500more,adm_make,business
11,1,AL,1,3625.7683,1,7,1,25000,104875,17,1,0,0,10,90,0,1,5,30,20,0,50,0,1,14
11,1,AL,1,3625.7683,1,16,1,500,115000,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,5,2,10000,45000,14.8,5,0,0,50,50,0,1,2,50,20,25,5,0,4,-99
11,1,AL,1,3625.7683,1,3,1,40000,97000,18,1,0,0,1,99,0,1,2,50,50,0,0,0,1,10
11,1,AL,1,3625.7683,1,16,1,365,136000,15,1,0,0,0,100,0,1,2,100,0,0,0,0,1,14
11,1,AL,1,3625.7683,1,5,1,20000,77000,19,1,0,0,0,100,0,2,2,99,1,0,0,0,4,14
11,1,AL,1,3625.7683,1,17,1,1000,70000,-99,5,0,0,100,0,0,2,2,100,0,0,0,0,13,-99
11,1,AL,1,3625.7683,1,4,4,15000,45000,13.2,5,0,0,100,0,0,1,1,20,20,0,0,0,6,-99
11,1,AL,1,3625.7683,1,16,2,2000,57000,20,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,3,-99
11,1,AL,1,3625.7683,1,6,2,7600,44427,13,5,0,0,100,0,0,1,2,90,7,3,0,0,4,-99
11,1,AL,1,3625.7683,1,15,1,2000,215000,17.5,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,5,1,18304,128202,16,5,0,0,100,0,0,1,2,95,0,0,5,0,3,-99
11,1,AL,1,3625.7683,1,13,3,1500,87000,8,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
11,1,AL,1,3625.7683,1,17,2,2102,138601,14,5,0,0,100,0,0,1,1,50,0,0,0,0,6,-99
11,1,AL,1,3625.7683,1,17,1,3403,188203,20,5,0,0,100,0,0,2,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,11,1,18000,188500,15,5,0,0,100,0,0,1,2,90,6,2,2,0,1,-99
11,1,AL,1,3625.7683,1,4,1,20000,81206,19,5,0,0,100,0,0,1,2,60,10,10,5,5,1,-99
11,1,AL,1,3625.7683,1,10,1,101000,136000,20,5,0,0,100,0,0,2,2,97,3,0,0,0,15,-99
11,1,AL,1,3625.7683,1,17,1,3000,88000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,9,1,25000,190000,18,5,0,0,100,0,0,2,2,60,25,15,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,100,213297,15,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,2,1,30000,46000,16,5,0,0,80,20,0,1,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,6,1,15000,50000,20,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
